Unnamed: 0,user,artist_ids
138,teori,514
139,teori,515
140,teori,2630152
141,teori,2630154
142,teori,336402
143,teori,4055579
144,teori,90653
145,teori,2277922
146,teori,16931
147,teori,552
148,teori,74291
149,teori,3187252
150,teori,1409588
151,teori,205371
152,teori,8767
153,teori,8774
154,teori,320082
155,teori,74325
156,teori,393814
157,teori,606
158,teori,1851999
159,teori,607
160,teori,610
161,teori,17004
162,teori,3269237
163,teori,8822
164,teori,8823
165,teori,74359
166,teori,2835065
167,teori,634
168,teori,1254011
169,teori,770691
170,teori,565894
171,teori,328329
172,teori,25227
173,teori,1049234
174,teori,8859
175,teori,33437
176,teori,8861
177,teori,671
178,teori,3785377
179,teori,674
180,teori,8867
181,teori,180898
182,teori,679
183,teori,1942203
184,teori,254663
185,teori,8908
186,teori,726
187,teori,8919
188,teori,727
189,teori,582358
190,teori,8920
191,teori,213724
192,teori,736
193,teori,25315
194,teori,739
195,teori,744
196,teori,17131
197,teori,750
198,teori,17135
199,teori,1057520
200,teori,751
201,teori,752
202,teori,756
203,teori,5489397
204,teori,475895
205,teori,759
206,teori,762
207,teori,17150
208,teori,41733
209,teori,25354
210,teori,33547
211,teori,786
212,teori,789
213,teori,791
214,teori,500506
215,teori,25373
216,teori,3474208
217,teori,803621
218,teori,254761
219,teori,17199
220,teori,983856
221,teori,823
222,teori,33591
223,teori,74552
224,teori,418620
225,teori,835
226,teori,533326
227,teori,25430
228,teori,857
229,teori,858
230,teori,860
231,teori,862
232,teori,866
233,teori,869
234,teori,871
235,teori,9064
236,teori,875
237,teori,189291
238,teori,140140
239,teori,879
240,teori,3187568
241,teori,2532208
242,teori,74617
243,teori,891
244,teori,9086
245,teori,9087
246,teori,9094
247,teori,4039564
248,teori,1721233
249,teori,328594
250,teori,33688
251,teori,205725
252,teori,2179998
253,teori,41888
254,teori,9130
255,teori,1778604
256,teori,946
257,teori,952
258,teori,41913
259,teori,956
260,teori,957
261,teori,951236
262,teori,328646
263,teori,971
264,teori,973
265,teori,1057742
266,teori,25553
267,teori,123859
268,teori,58324
269,teori,979
270,teori,981
271,teori,983
272,teori,4137941
273,teori,9191
274,teori,1000
275,teori,82923
276,teori,1015
277,teori,1385466
278,teori,1019
279,teori,4178941
280,teori,1023
281,teori,115713
282,teori,1827845
283,teori,1532933
284,teori,1030
285,teori,9221
286,teori,33801
287,teori,9226
288,teori,9225
289,teori,1029
290,teori,33806
291,teori,99348
292,teori,4359191
293,teori,9239
294,teori,1056
295,teori,66594
